org_id,ico
2462,00052914
15536,00438341
15872,00445177
15873,00445185
15875,00445215
15881,00445304
15882,00445312
16164,00460524
16165,00460532
16166,00460541
18513,00489778
29817,00875058
618005,18189806
831613,26520958
831654,26521369
831690,26521725
831807,26522942
1006894,41695356
1075159,42409233
1096973,42634458
1341455,45246441
1559112,47475111
1562348,47511401
1580196,47695145
1641414,48343366
1686972,48809314
1742159,49371517
1818338,60163291
1835293,60336528
1888204,60884193
1936984,61380938
1999826,62015061
2089023,62936611
2097330,63025159
2105801,63110628
2110045,63153459
2171648,63777916
2197977,64045897
2235762,64438732
2235875,64439852
2269553,64811433
2286979,64991814
2295796,65079841
2317320,66598257
2317390,66598982
2330497,66742986
2356388,67007201
2356413,67007457
2356430,67007627
2356500,67008330
2356784,67011187
2356799,67011349
2358404,67027253
2358477,67027989
2358510,67028314
2387763,67338747
2387940,67340512
2387945,67340563
2387998,67341128
2388016,67341306
2388025,67341390
2388053,67341675
2397981,67441947
2424796,67727905
2424825,67728243
2459564,68081863
2459569,68081928
2465796,68148313
2465893,68149280
2465936,68149719
2466732,68157720
2466742,68157827
2466750,68157908
2466764,68158041
2466769,68158092
2468721,68177445
2468734,68177577
2471869,68208219
2471870,68208227
2471981,68209355
2471982,68209363
2472386,68213409
2475621,68246455
2475643,68246684
2480606,68298323
2481587,68308752
2483966,68333137
2485049,68343876
2485064,68344023
2485382,68347219
2485392,68347316
2493517,68429177
2493587,68429894
2493591,68429932
2494157,68435614
2494203,68436068
2502622,68521987
2518050,68685866
2518081,68686170
2518372,68689055
2537958,68898959
2539264,68911637
2539265,68911645
2540228,68921233
2542229,68941498
2563014,69152985
2576571,69292370
2576572,69292388
2610061,69650101
2615249,69703256
2656924,70157065
2679985,70418730
2692421,70582955
2710847,70813353
2711162,70816506
2795496,73630969
2813043,65341201
2814230,65353056
2824448,65469054
2827192,65497627
2859003,65822641
2865559,65888863
2887465,66110602
2887481,66110777
2887492,66110882
2887559,66111552
2887585,66111811
2887727,66113229
2890799,66144183
2890921,66145414
2921659,00445193
2921660,00445223
2921661,00445231
2921662,00445240
2966396,61729884
2975596,73631094
2975613,73631221
2975799,73631400
3021501,73631655
3021541,73631647
3021542,73631639
3023544,73631752
3030541,73631957
3030561,73631965
3030609,73631981
3031129,73632040
3031146,73632074
3031150,73632104
3031184,73632112
3031194,73632171
3031198,73632180
3038083,73632279
3068714,73632384
3076248,73632414
3107212,73632465
3144343,73632848
3154546,73632856
3178771,73633020
3235235,73633259
3315228,73633674
3363275,73633780
3493374,73634174
3493376,73634166
3507526,73634239
3507527,73634247
3507528,73634255
3613724,73634387
3977127,73634778
4487910,73634859
4487914,73634891
4797670,73635146
4906813,73635189
4958543,73635294
5067353,73635332
5407205,73635596
5499340,73635715
5661630,01544004
5751035,02144034
5760989,02263823
5863345,03487679
5881243,03659925
6436,00169757
6465,00170224
13395,00390305
13398,00390402
13424,00394190
13657,00402583
13658,00403407
13659,00403415
13660,00403423
13705,00406104
13707,00406121
13708,00406139
13709,00406147
13710,00406155
13712,00406171
13713,00406180
13717,00406414
13718,00406422
13719,00406431
13720,00406457
13721,00406465
13722,00406473
13723,00406481
13725,00406503
13726,00406511
13727,00406520
13728,00406538
13729,00406546
13730,00406660
13743,00406881
13744,00406899
13745,00406902
13746,00406911
13747,00406929
13827,00408026
13859,00408344
13860,00408352
13862,00408379
13863,00408387
13969,00409839
14094,00415090
15537,00441082
15606,00441830
15607,00441848
15867,00445118
15868,00445126
15869,00445134
15870,00445142
15871,00445151
15879,00445258
15885,00445355
17262,00475335
17389,00476684
17621,00479365
17825,00481700
18331,00487597
18368,00488011
18594,00494330
18605,00494453
20548,00530204
20613,00530883
21561,00540838
21770,00543080
23219,00558389
23609,00562602
24208,00569089
24257,00569623
24258,00569631
28361,00676560
28411,00677132
29096,00849677
329234,13695860
354611,14451115
359233,14503336
413957,15045455
413958,15045463
413961,15045498
413965,15045536
413969,15045579
413981,15045706
413990,15045790
414856,15054659
414864,15054730
414865,15054748
414866,15054756
414871,15054811
414875,15054853
414878,15054888
414879,15054896
414884,15054951
415371,15060233
415398,15060501
415400,15060527
415401,15060535
415402,15060543
415403,15060551
415406,15060586
415419,15060713
415420,15060721
415421,15060730
415422,15060748
436771,15270149
463080,15531678
497815,15890767
537154,16389000
537263,16390105
537264,16390113
571776,16734785
617966,18189415
618000,18189750
618009,18189857
618030,18190073
618056,18190332
618058,18190359
618061,18190383
621362,18229212
621421,18229808
621521,18230822
621938,18235077
623010,18245803
623337,18249159
623343,18249213
623380,18249582
623647,18252303
637395,18381235
637643,18383807
660650,18608353
660651,18608361
660652,18608370
660677,18608621
660696,18608817
660711,18608965
660747,18609325
675074,18757642
701197,19015291
831518,26520001
831519,26520010
831520,26520028
831523,26520052
831524,26520061
831525,26520079
831526,26520087
831527,26520095
831528,26520109
831529,26520117
831530,26520125
831531,26520133
831532,26520141
831533,26520150
831534,26520168
831535,26520176
831536,26520184
831537,26520192
831538,26520206
831539,26520214
831540,26520222
831541,26520231
831542,26520249
831543,26520257
831544,26520265
831545,26520273
831546,26520281
831547,26520290
831548,26520303
831549,26520311
831550,26520320
831551,26520338
831552,26520346
831553,26520354
831554,26520362
831555,26520371
831556,26520389
831557,26520397
831559,26520419
831560,26520427
831561,26520435
831562,26520443
831569,26520516
831570,26520524
831571,26520532
831577,26520591
831578,26520605
831584,26520664
831590,26520729
831592,26520745
831593,26520753
831595,26520770
831596,26520788
831597,26520796
831598,26520800
831599,26520818
831600,26520826
831601,26520834
831602,26520842
831603,26520851
831604,26520869
831605,26520877
831606,26520885
831607,26520893
831608,26520907
831609,26520915
831610,26520923
831611,26520931
831612,26520940
831615,26520974
831616,26520982
831617,26520991
831619,26521016
831620,26521024
831622,26521041
831625,26521075
831626,26521083
831627,26521091
831628,26521105
831629,26521113
831630,26521121
831632,26521148
831633,26521156
831636,26521181
831637,26521199
831638,26521202
831639,26521211
831641,26521237
831642,26521245
831643,26521253
831644,26521261
831645,26521270
831647,26521296
831649,26521318
831650,26521326
831651,26521334
831652,26521342
831653,26521351
831655,26521377
831656,26521385
831657,26521393
831658,26521407
831659,26521415
831660,26521423
831661,26521431
831662,26521440
831663,26521458
831664,26521466
831665,26521474
831666,26521482
831668,26521504
831670,26521521
831674,26521563
831676,26521580
831677,26521598
831678,26521601
831679,26521610
831680,26521628
831681,26521636
831683,26521652
831684,26521661
831685,26521679
831686,26521687
831687,26521695
831688,26521709
831689,26521717
831691,26521733
831693,26521750
831696,26521784
831697,26521792
831698,26521806
831718,26522012
831719,26522021
831720,26522039
831773,26522608
831774,26522616
831775,26522624
831777,26522641
831778,26522659
831779,26522667
831780,26522675
831781,26522683
831782,26522691
831783,26522705
831784,26522713
831785,26522721
831786,26522730
831787,26522748
831788,26522756
831789,26522764
831792,26522799
831793,26522802
831794,26522811
831795,26522829
831797,26522845
831799,26522861
831800,26522870
831801,26522888
831803,26522900
831804,26522918
831806,26522934
831808,26522951
831809,26522969
831810,26522977
831811,26522985
831812,26522993
