org_id,ico
7869,00216194
10501,00273309
13704,00406066
14124,00417904
22598,00551864
24299,00570079
318130,13584596
413351,15039188
603291,17048770
623323,18249019
623719,18253024
712605,25049852
712607,25049879
725301,25180436
726414,25191659
726501,25192523
726733,25194861
726903,25196596
727006,25197631
729353,25221337
729556,25223372
730101,25228919
730179,25229711
731780,25245821
748843,25419790
754121,25521942
754986,25530631
756777,25548697
757816,25559150
758000,25561022
758306,25564102
758310,25564145
760493,25586149
760631,25587528
767863,25661744
769669,25680366
770795,25691872
770948,25693450
771921,25703340
772723,25711580
773072,25715135
774169,25726391
776158,25746707
777032,25755587
777795,25763351
778130,25766830
778842,25774069
779968,25785541
781228,25798456
782499,25817981
782852,25821555
783567,25828771
783891,25832026
784566,25838822
784659,25839756
784691,25840088
784970,25842871
785579,25849034
786137,25854640
786854,25861891
788987,25883941
791832,25915801
792771,25925547
793508,25933108
794273,25940775
794830,25946366
796865,25967487
796921,25968068
802648,26135256
803428,26143224
803613,26145111
804352,26152657
804701,26156199
805327,26162547
805539,26164698
805647,26165791
807235,26181843
808375,26193337
809480,26204479
809753,26207231
810276,26212579
810846,26218330
814017,26250870
816289,26273853
818889,26322552
819954,26333511
821867,26419921
822696,26428270
823174,26433141
823658,26439255
823837,26441063
824014,26442884
826061,26463989
826151,26464926
828385,26488078
829676,26501198
830245,26506980
830522,26509881
837198,26690535
837268,26691248
838100,26700000
838678,26706482
839197,26716852
915502,40763757
957153,41186478
957273,41187687
1006664,41693027
1006871,41695127
1133584,43001483
1203455,43751881
1221202,43961240
1246307,44224648
1275900,44552254
1303025,44850981
1311706,44938411
1311779,44939230
1314210,44965265
1314216,44965338
1316655,44992106
1316683,44992386
1316691,44992467
1316707,44992629
1316719,44992742
1316803,44993587
1316905,44994621
1321018,45035601
1340344,45235163
1340584,45237573
1340804,45239801
1340955,45241325
1341423,45246122
1341485,45246742
1341561,45247501
1341617,45248061
1341874,45250669
1341919,45251118
1341925,45251177
1341981,45251746
1349298,45332657
1349334,45333017
1349370,45333378
1383070,45669392
1392015,45769940
1392164,45771481
1392190,45771740
1392207,45771910
1392236,45772207
1392257,45772428
1392367,45773521
1462859,46484965
1462944,46485813
1463885,46495801
1476582,46622926
1482784,46684425
1488851,46746030
1488994,46747486
1489095,46748504
1513904,47006862
1514098,47008806
1536230,47235292
1544776,47325445
1560763,47491825
1562703,47514981
1571752,47606606
1571911,47608218
1571931,47608421
1571942,47608536
1572092,47610034
1576226,47654341
1576650,47658550
1582947,47723238
1595381,47861941
1601270,47922257
1621223,48134571
1621254,48134881
1641349,48342700
1652508,48455491
1653114,48461610
1657914,48510912
1658379,48515566
1659592,48527564
1661415,48546003
1661838,48550256
1661869,48550566
1671870,48652555
1673698,48670987
1677389,48707473
1689804,48838403
1698457,48925527
1721533,49157302
1733411,49277961
1735118,49296353
1738378,49333941
1741655,49366441
1741950,49369393
1741978,49369687
1742009,49369997
1742047,49370375
1742058,49370499
1745857,49408593
1751007,49460544
1751518,49465741
1759938,49558897
1763269,49592220
1766517,49625284
1766556,49625667
1766709,49627201
1766946,49629565
1766947,49629573
1780995,49777327
1809828,60077875
1810453,60084081
1818682,60166754
1827175,60254092
1835649,60340053
1845239,60435861
1845240,60435879
1846066,60444096
1846497,60448415
1846639,60449837
1847558,60458861
1847565,60458933
1847619,60459468
1847791,60461152
1855786,60555360
1878377,60783397
1878484,60784458
1879868,60801336
1921189,61222224
1921196,61222291
1933154,61342831
1937030,61381390
1937678,61387878
1937840,61389501
1997371,61989711
2005778,62075136
2005814,62075519
2013933,62156403
2013977,62156853
2014247,62159542
2030666,62334549
2050083,62537393
2068282,62727443
2072493,62770578
2088413,62930486
2088414,62930494
2088433,62930681
2088436,62930711
2088788,62934261
2088884,62935224
2088931,62935691
2088934,62935721
2092851,62978055
2097304,63024896
2105565,63108275
2105619,63108801
2106064,63113244
2110114,63154161
2110216,63155176
2174154,63804549
2176586,63828448
2177041,63832984
2177422,63836815
2177424,63836831
2197971,64045838
2202656,64094731
2224550,64326195
2227374,64354121
2227505,64355438
2257832,64686647
2269354,64809439
2286416,64986071
2295894,65081013
2349369,66934591
2349471,66935610
2389891,67360114
2389956,67360769
2389982,67361021
2419641,67672833
2431721,67798713
2449822,67984312
2505502,68550600
2806306,65270045
2811920,65326636
2813754,65348273
2818430,65397819
2837883,65607716
2842921,65660200
2855928,65792424
2858976,65822374
2865821,65891511
2875412,65986920
2876003,65992768
2876387,65996631
2876388,65996640
2876569,65998456
2876794,66000718
2876864,66001412
2877017,66002940
2877208,66004888
2893939,66181151
2894161,66183375
2894164,66183405
2911050,66359007
2920945,00206857
2923098,00676187
2942305,25765523
2952512,44500548
2954396,45335966
2957965,47611804
2961218,49279416
2968375,62930842
3023361,26715830
3025454,26721511
3026284,26717042
3027256,26301288
3027524,26720019
3027847,26490099
3028525,26724031
3029790,26738465
3031972,26306581
3033612,26738741
3069543,26773228
3071330,26779056
3095698,27064492
3105853,26892006
3117465,26901170
3127642,27074056
3129237,27078591
3131585,25996088
3144494,27088391
3158183,25477153
3165562,26070383
3166550,27112101
3166716,26824230
3172410,26003490
3182273,26006154
3182300,27124771
3186039,26005981
3197277,27134253
3198898,26833018
3199316,26075253
3199460,27149994
3203889,27150496
3214220,27162524
3215798,27155510
3237057,27179133
3246964,27189945
3247280,26080320
3247839,27193870
3259173,27209067
3260080,27211428
3285686,26089491
3292570,27244890
3294694,27248097
3303888,26386984
3304491,27363589
3307685,26092743
3315070,26093413
3315434,26980738
3317123,27378179
3334191,27387810
3340729,26874288
3347512,26879301
3351899,27421538
3360092,27433056
3361981,27437213
3367786,26407299
3368187,26406501
3368420,27442268
3377613,27448649
3380153,26410168
3385688,27690954
3387947,27460355
3388057,26407914
3393360,26414732
3404058,27586405
3404299,27593444
3427313,27633934
3430768,27784657
3443068,27715159
3462460,27722333
3463714,27655270
3463722,27868389
3481129,27513963
3482856,27891372
3483185,27891062
3485817,27884783
3486573,27895084
3489744,27898296
3489746,27899161
3489830,27730077
3496593,27915409
3499093,27802370
3505464,27928152
3505763,27928136
3507995,27921247
3558721,27748766
3572022,27336085
3613317,27825051
3642071,27832813
3652032,28237421
3673422,28079787
3678534,28257731
3679666,28272625
3679883,28246411
3685469,28367472
3694494,27352200
3703173,28371275
3710254,28384458
3718330,28282817
3719091,27843416
3762544,28418808
3765183,28421434
3768893,28668642
3770122,28296443
3770710,28432860
3772978,27543862
3778577,28436504
3785696,28671473
3813928,28561414
3816189,28456769
3831440,28035763
3838618,28310039
3841727,28482263
3866497,28494172
3916056,28570308
3947409,28513941
3947571,28514106
3947726,28315332
3963678,28514319
3970186,28094948
4007606,28573790
4037786,28576187
4054523,28534522
4112625,28876474
4123867,28884817
4159931,28889452
4171534,28902254
4207309,28588088
4340883,28951417
4376270,28358821
4418749,28707958
4518889,28713320
4531290,29003547
4542531,29004900
4570224,29018951
4570784,29018200
4578196,29007381
4592789,29003881
4595214,29019192
4623269,29093660
4651667,28717406
4701749,29096316
4711089,28719255
4751909,29209498
4772937,29044154
4785391,29097525
4785826,28621981
4793616,28624955
4803538,29218896
4812432,28627792
4815170,28799267
4898713,29235715
4916080,28636759
4933939,28732057
4997019,24761249
5084394,24788155
5087240,24772470
5089978,24775789
5129537,28737857
5210775,28739973
5232633,24814008
5326076,28742214
5332054,28657187
5354529,29283868
5362523,28745353
5372936,24148482
5386880,24161501
5395533,28141601
5397411,24158917
5414117,24186830
5414627,24188581
5415963,24177601
5423101,28750365
5430460,29392471
5431638,28751574
5458723,29124743
5481230,29314224
5562473,24242039
5562802,24244341
5573604,24264504
5579793,24259101
5581429,24259560
5617562,24235423
5636873,29147221
5639672,29149746
5650057,01406221
5659292,01502034
5660977,01438476
5708690,01782789
5715258,01840908
5722818,01873016
5724347,01933728
5728993,01939301
5741929,02020947
5743444,01976192
5756364,02178001
5756745,02163543
5763076,02283891
5767494,02258722
5778838,02474514
5780664,02490927
5783215,02491761
5786052,02492865
5788572,02576040
5795105,02644240
5805547,02791714
5808735,02789809
5836594,03137660
5839537,03094979
5851379,03295095
5872820,03571092
5873357,03569560
5875234,03588599
5879416,03641392
5883819,03643905
5883869,03670643
5887019,03713229
5887437,03716252
5914488,03970248
5924397,04001885
5932464,04137752
5933109,04135211
5937185,04107276
5943607,04226216
5948061,04287304
5971042,04502442
5973629,04528921
5978453,04564472
5980272,04591011
5981224,04589394
5983244,04619552
5986767,04593201
5988614,04674707
5990992,04681291
5991175,04694538
6000833,04772768
6007781,04852010
6008563,04860292
6021109,04898419
6023439,04987900
6024481,05012571
6033595,05092485
6034047,05098670
6038697,05089689
6039422,05149568
6050266,05252237
6052228,05266068
6064016,05373743
6076341,05499712
6080494,05539773
6080831,05543096
6094732,05652154
6095052,05654823
6095059,05654912
6095671,05661544
6106561,05679656
6111212,05787726
6132321,05992419
6134595,06024840
6153139,06199844
6154718,06212093
6154925,01894242
6156060,06230555
6183806,06476490
13338,00380750
29058,00848646
29425,00856550
248185,12895555
248196,12895661
309848,13503898
309850,13503910
359121,14502194
359184,14502844
415020,15056627
415344,15059961
534994,16367821
537209,16389565
582378,16841034
618052,18190294
621524,18230857
621914,18234836
621915,18234844
701073,19014031
712331,25047108
712356,25047353
725124,25178652
725191,25179322
725498,25182412
726170,25189174
726356,25191071
726732,25194852
727194,25199544
729588,25223691
730060,25228501
730073,25228633
730165,25229575
730167,25229591
730169,25229613
730171,25229630
730172,25229648
730205,25229974
730374,25231669
730504,25232967
730755,25235486
731172,25239708
731421,25242199
731587,25243896
731613,25244159
732163,25249665
736245,25291017
736774,25296426
737065,25299450
737102,25299841
746923,25400495
746931,25400576
746941,25400673
747010,25401360
747061,25401874
748061,25411942
748332,25414658
748522,25416553
749145,25422855
749235,25423762
749918,25430823
750231,25433989
750864,25440349
750893,25440632
750894,25440641
755525,25536052
755594,25536745
755704,25537857
755713,25537946
756207,25542907
756213,25542974
756214,25542982
756268,25543521
756270,25543547
756274,25543580
756463,25545477
756542,25546279
756626,25547127
756736,25548263
756808,25549014
756844,25549375
756845,25549383
756930,25550233
756955,25550489
757270,25553674
757347,25554441
757411,25555090
757823,25559222
757941,25560425
758267,25563700
758475,25565800
758508,25566148
759907,25580256
759956,25580744
759992,25581104
760004,25581228
760248,25583697
760333,25584545
769050,25673980
769198,25675516
769660,25680277
770562,25689509
771358,25697641
771503,25699105
771592,25700014
772222,25706446
772949,25713892
773116,25715615
773247,25716930
773261,25717073
774167,25726374
774222,25726935
774674,25731513
774892,25733800
775293,25737864
775535,25740326
775591,25740920
775664,25741683
775726,25742329
775995,25745051
777269,25757997
777576,25761145
777607,25761455
778004,25765540
778349,25769065
778807,25773712
778868,25774328
778927,25774956
779162,25777343
779280,25778536
779555,25781341
779945,25785311
780522,25791231
781023,25796372
781227,25798448
783069,25823744
783071,25823761
783339,25826476
783513,25828231
783568,25828789
783571,25828819
783625,25829351
783628,25829386
783630,25829408
783631,25829416
783632,25829424
783689,25829998
783754,25830643
783764,25830741
783896,25832077
784061,25833731
784232,25835467
784310,25836242
784400,25837141
784401,25837150
784902,25842196
784929,25842463
785069,25843869
785230,25845519
785369,25846914
785407,25847295
785408,25847309
785409,25847317
785410,25847325
785620,25849441
785627,25849514
785735,25850598
785930,25852574
785933,25852604
785944,25852710
786028,25853554
786237,25855654
786284,25856120
786665,25859978
786975,25863169
787162,25865099
787474,25868331
787514,25868748
787533,25868934
787714,25870777
788752,25881582
789412,25888269
789921,25893386
791799,25915452
791800,25915461
791943,25916971
791954,25917081
791966,25917200
791988,25917421
792019,25917731
792035,25917901
792316,25920871
792518,25922912
792736,25925199
792837,25926225
792862,25926489
793150,25929411
793152,25929437
793402,25932012
793752,25935542
794169,25939734
794246,25940503
794401,25942069
794424,25942298
795132,25949837
795168,25950193
795265,25951165
795576,25954261
795695,25955489
795714,25955683
796218,25960857
796407,25962795
796688,25965620
796817,25967002
796856,25967398
797657,26018870
798145,26023806
798267,26025027
798404,26026431
799401,26036606
800469,26047543
801408,26122642
801591,26124483
802162,26130301
802310,26131781
802675,26135531
802707,26135868
802916,26137976
803077,26139588
803143,26140306
803205,26140934
803666,26145669
805541,26164710
805818,26167531
806006,26169428
806192,26171287
806525,26174677
806555,26174979
806614,26175568
807020,26179687
807223,26181720
807256,26182050
807354,26183048
807373,26183234
807474,26184257
807748,26186993
807799,26187507
807982,26189364
807984,26189381
808054,26190087
808621,26195836
808987,26199548
809082,26200490
809629,26205971
809636,26206048
810622,26216051
810673,26216566
811856,26228548
811932,26229315
811971,26229706
813014,26240475
813258,26243172
814996,26260794
815366,26264528
815527,26266148
815812,26269040
816040,26271338
816123,26272164
816455,26275520
816875,26279746
817187,26282887
817365,26284669
820848,26342561
820879,26342871
821579,26417031
821781,26419068
822041,26421682
822516,26426455
822583,26427141
822701,26428326
822850,26429853
822890,26430258
823100,26432374
824082,26443589
824159,26444364
824482,26447649
824639,26449226
824682,26449668
825701,26460289
825950,26462851
825982,26463199
826107,26464462
827268,26476720
827481,26478871
827487,26478935
827727,26481375
827886,26482983
827956,26483700
828384,26488060
828707,26491354
828874,26493047
828877,26493071
829158,26495937
829834,26502810
830430,26508923
830438,26509008
831020,26514923
836546,26683814
837020,26688671
837133,26689863
837809,26696894
838306,26702223
838520,26704561
838620,26705753
915646,40765202
915877,40767523
915896,40767710
957434,41189311
957613,41191137
1027324,41914546
1054032,42197651
1073718,42396107
1075231,42409951
1109954,42767571
1127343,42938741
1127541,42940737
1133768,43003346
1133900,43004661
1156632,43257135
1168654,43383327
1171492,43420851
1183284,43541542
1210806,43833268
1213092,43852432
1213099,43852505
1213103,43852548
1221160,43960804
1226643,44017111
1240835,44164220
1267449,44468547
1267488,44468954
1268307,44477139
1268508,44479191
1276062,44553889
1293879,44738226
1293904,44738471
1293932,44738757
1294114,44740611
1294119,44740662
1294120,44740671
1294132,44740794
1294133,44740808
1294139,44740867
